,datetime,day_of_week,month,is_holiday,staleness,rm_id,rolling_7_avg,rolling_30_avg,rolling_100_avg,rolling_200_avg,rolling_500_avg,rolling_7_freq,rolling_30_freq,rolling_100_freq,shifted_30_rolling_7_avg,shifted_100_rolling_7_avg,shifted_100_rolling_30_avg,shifted_30_rolling_7_freq,shifted_100_rolling_7_freq,shifted_100_rolling_30_freq,rolling_7_short_decay,rolling_30_medium_decay,rolling_100_long_decay,shifted_30_rolling_7_short_decay,shifted_100_rolling_7_medium_decay,shifted_100_rolling_30_medium_decay,predicted_net,predicted_cumulative
0,2024-07-09,1,7,0,0,<built-in function id>,79318.0,69589.26666666666,71219.02,57405.125,37667.392,0.7142857142857143,0.7,0.66,65602.85714285714,82021.14285714286,30883.6,0.7142857142857143,0.7142857142857143,0.4,79318.0,69589.26666666666,71219.02,1317668.6094094631,606058.8258698336,228200.6529369346,122063.195,122063.195
1,2024-07-10,2,7,0,1,<built-in function id>,79318.0,69589.26666666666,71219.02,57405.125,37667.392,0.7142857142857143,0.7,0.66,63267.42857142857,100174.85714285714,36190.166666666664,0.7142857142857143,0.7142857142857143,0.43333333333333335,71769.89432377624,68211.30686305667,70510.37891077869,1149831.444007998,725540.7438609351,262116.07575680787,119487.3,241550.5
2,2024-07-11,3,7,0,2,<built-in function id>,79318.0,69589.26666666666,71219.02,57405.125,37667.392,0.7142857142857143,0.7,0.66,60720.71428571428,98337.14285714286,41251.86666666667,0.7142857142857143,0.7142857142857143,0.4666666666666667,64940.08587263936,66860.63249168813,69808.78891820727,998530.6981172778,698127.5397958885,292860.4935148994,121692.9,363243.4
3,2024-07-12,4,7,0,3,<built-in function id>,79318.0,69589.26666666666,71219.02,57405.125,37667.392,0.7142857142857143,0.7,0.66,60720.71428571428,98337.14285714286,41251.86666666667,0.7142857142857143,0.7142857142857143,0.4666666666666667,58760.2196280325,65536.70326480323,69114.17986270187,903507.9387140821,684303.688306839,287061.467207266,125000.73,488244.12
4,2024-07-13,5,7,0,4,<built-in function id>,79318.0,69589.26666666666,71219.02,57405.125,37667.392,0.7142857142857143,0.7,0.66,60720.71428571428,98337.14285714286,41251.86666666667,0.7142857142857143,0.7142857142857143,0.4666666666666667,53168.44541145484,64238.98959305863,68426.48228277809,817527.7904410419,670753.5674172828,281377.26931405277,16395.08,504639.22
5,2024-07-14,6,7,0,5,<built-in function id>,79318.0,69589.26666666666,71219.02,57405.125,37667.392,0.7142857142857143,0.7,0.66,58866.857142857145,88427.0,41251.86666666667,0.7142857142857143,0.5714285714285714,0.4666666666666667,48108.798867086654,62966.972373682525,67745.62740810485,717145.1316284513,591213.5878474289,275805.62608031207,12316.294,516955.5
6,2024-07-15,0,7,0,6,<built-in function id>,79318.0,69589.26666666666,71219.02,57405.125,37667.392,0.7142857142857143,0.7,0.66,56398.42857142857,74614.0,41251.86666666667,0.7142857142857143,0.42857142857142855,0.4666666666666667,43530.64135170599,61720.142782826726,67071.54715262729,621689.8257338739,488983.21178753034,270344.308774461,102738.9,619694.4
7,2024-07-16,1,7,0,7,<built-in function id>,79318.0,69589.26666666666,71219.02,57405.125,37667.392,0.7142857142857143,0.7,0.66,62871.142857142855,74668.0,48306.13333333333,0.7142857142857143,0.42857142857142855,0.5,39388.15312612702,60498.00207203027,66404.17410775814,627088.2499998639,479647.57724907063,310305.88497889193,117539.06,737233.44
8,2024-07-17,2,7,0,8,<built-in function id>,79318.0,69589.26666666666,71219.02,57405.125,37667.392,0.7142857142857143,0.7,0.66,72290.42857142857,78803.42857142857,54577.63333333333,0.7142857142857143,0.42857142857142855,0.5333333333333333,35639.87477584978,59300.0613687134,65743.44153563674,652422.093737021,496188.8031000812,343650.1564796172,114510.47,851743.9
9,2024-07-18,3,7,0,9,<built-in function id>,79318.0,69589.26666666666,71219.02,57405.125,37667.392,0.7142857142857143,0.7,0.66,64587.0,80127.57142857143,59948.3,0.7142857142857143,0.42857142857142855,0.5666666666666667,32248.29227130484,58125.841480622046,65089.28336245531,527428.4161430068,494536.0287900766,369992.4219111543,114514.06,966257.94
10,2024-07-19,4,7,0,10,<built-in function id>,79318.0,69589.26666666666,71219.02,57405.125,37667.392,0.7142857142857143,0.7,0.66,64587.0,80127.57142857143,59948.3,0.7142857142857143,0.42857142857142855,0.5666666666666667,29179.461514836465,56974.872704144494,64441.634171851365,477236.9662616339,484743.55932242447,362666.08109086665,107103.39,1.0733614e+06
11,2024-07-20,5,7,0,11,<built-in function id>,79318.0,69589.26666666666,71219.02,57405.125,37667.392,0.7142857142857143,0.7,0.66,64587.0,80127.57142857143,59948.3,0.7142857142857143,0.42857142857142855,0.5666666666666667,26402.668616764273,55846.6946364237,63800.42919836615,431821.8643434911,475144.9937418348,355484.8115386276,919.59735,1.074281e+06
12,2024-07-21,6,7,0,12,<built-in function id>,79318.0,69589.26666666666,71219.02,57405.125,37667.392,0.7142857142857143,0.7,0.66,61649.57142857143,91853.14285714286,62684.26666666667,0.7142857142857143,0.5714285714285714,0.6,23890.12250045205,54740.85599119,63165.60432096798,372958.173475002,533890.6423362602,364348.3756140371,2104.7246,1.0763858e+06
13,2024-07-22,0,7,0,13,<built-in function id>,79318.0,69589.26666666666,71219.02,57405.125,37667.392,0.7142857142857143,0.7,0.66,69232.42857142857,117727.85714285714,68721.7,0.7142857142857143,0.7142857142857143,0.6333333333333333,21616.67675987181,53656.91441824058,62537.096056640075,378974.6718015111,670736.0325581249,391531.1254898377,89127.71,1.1655135e+06
14,2024-07-23,1,7,0,14,<built-in function id>,79318.0,69589.26666666666,71219.02,57405.125,37667.392,0.7142857142857143,0.7,0.66,66502.85714285714,106493.42857142857,72841.93333333333,0.7142857142857143,0.7142857142857143,0.6333333333333333,19559.577985920343,52594.43632649353,61914.84155403227,329390.8077434877,594715.5831154916,406787.8500928987,103512.055,1.2690255e+06
